"date","volatility_forecast"
2024-10-01,0.0114303525332943
2024-10-02,0.0115937879653959
2024-10-03,0.0117520637063054
2024-10-04,0.0119054369669926
2024-10-07,0.0120541447552992
2024-10-08,0.0121984060938225
2024-10-09,0.0123384239299343
2024-10-10,0.0124743867888955
2024-10-11,0.0126064702113191
2024-10-14,0.012734838008611
2024-10-15,0.0128596433639675
2024-10-16,0.0129810298016921
2024-10-17,0.0130991320437164
2024-10-18,0.0132140767690839
2024-10-21,0.0133259832896042
2024-10-22,0.0134349641528088
2024-10-23,0.0135411256816249
2024-10-24,0.0136445684587704
2024-10-25,0.0137453877626998
2024-10-28,0.0138436739609501
2024-10-29,0.0139395128659162
2024-10-30,0.0140329860573964
2024-10-31,0.0141241711756618
2024-11-01,0.0142131421883144
2024-11-04,0.0142999696337745
2024-11-05,0.0143847208438801
2024-11-06,0.0144674601477745
2024-11-07,0.0145482490589926
2024-11-08,0.0146271464474299
2024-11-11,0.0147042086976794
2024-11-12,0.0147794898550538
2024-11-13,0.0148530417604589
